japanese,kana,english
どうでしたか。,どう でした か。,How was it?
安いようでした。,やすい よう でした。,It seemed to be cheap.
血は鮮血でした。,ち は せんけつ でした。,The blood was bright red.
私は教師でした。,わたし は きょうし でした。,I was a teacher.
お疲れ様でした。,おつかれさま でした。,Thanks for your hard work.
ご馳走様でした。,ごちそうさま でした。,That was a delicious meal.
昨日病気でした。,きのう びょうき でした。,Yesterday I was ill.
旅行どうでした？,りょこう どう でした？,How was your trip?
私は会員でした。,わたし は かいいん でした。,I was a member.
変化の時でした。,へんか の とき でした。,It was time for a change.
お疲れさまでした。,おつかれさま でした。,Thank you!
いつもそうでした。,いつも そう でした。,It's always been like that.
夏はどうでしたか。,なつ は どう でした か。,How was your summer?
旅行どうでしたか？,りょこう どう でした か？,How was your trip?
どうでした、旅行？,どう でした、りょこう？,How was your trip?
旅行はどうでした？,りょこう は どう でした？,How was your trip?
嬉しい驚きでした。,うれしい おどろき でした。,I was pleasantly surprised.
いい旅行でしたか？,いい りょこう でした か？,Was it a nice trip?
専攻は何でしたか？,せんこう は なに でした か？,What was your major?
トムは短命でした。,トム は たんめい でした。,Tom didn't live a long life.
元栓、しまってる。,もとせん、しまってる。,The main tap is turned off.
料理が冷えてしまっている。,りょうり が ひえてしまっている。,The food is cold.
全部なくなってしまっていた。,ぜんぶ なくなってしまっていた。,All of them were gone.
料理が冷めてしまっています。,りょうり が さめてしまっています。,The food is cold.
携帯をしまってもらえますか。,けいたい を しまってもらえます か。,I'm going to have to ask you to put your phone away.
お邪魔してしまってすみません。,お じゃま してしまって すみません。,Sorry for the intrusion.
トムはもう食べてしまっている。,トム は もう たべてしまっている。,Tom has already eaten.
傷つけてしまって、ごめんなさい。,きずつけてしまって、ごめんなさい。,I'm sorry I hurt you.
トムは朝食をもう食べてしまっている。,トム は ちょうしょく を もう たべてしまっている。,Tom has already finished breakfast.
トムは昼食をもう食べてしまっている。,トム は ちゅうしょく を もう たべてしまっている。,Tom has already finished his lunch.
君が戻る前に彼女は帰ってしまっているよ。,きみ が もどる まえ に かのじょ は かえってしまっている よ。,She'll have left before you come back.
コートのボタンが一つ取れてしまっている。,コート の ボタン が ひとつ とれてしまっている。,One of the buttons has come off my coat.
宿題を忘れてしまって、すみませんでした。,しゅくだい を わすれてしまって、すみません でした。,"I'm sorry, I forgot to do my homework."
とても疲れてしまって、動けないくらいだ。,とても つかれてしまって、うごけない くらい だ。,I'm so tired that I can barely move.
ねえ、ここにしまってあった爪切り知らない？,ねえ、ここ に しまってあった つめぎり しらない？,"Eh, do you know where the nail clippers that were here before are?"
あんな無礼なことをしてしまってごめんなさい。,あんな ぶれい な こと を してしまって ごめんなさい。,I'm sorry I was so rude.
仕事を片付けてしまって、のんびりしましょう。,しごと を かたづけてしまって、のんびり しましょう。,Let's get the work over with so we can relax.
気持ちだけ焦ってしまって、全然行動が伴わない。,きもち だけ あせってしまって、ぜんぜん こうどう が ともなわない。,"For somebody who feels rushed all the time, I sure make slow progress."
彼女は私の名前を忘れてしまっているようだった。,かのじょ は わたし の なまえ を わすれてしまっている よう だった。,She appeared to have forgotten my name.
あなたが帰ったとき、私はもう出てしまっていた。,あなた が かえった とき、わたし は もう でてしまっていた。,"By the time you came back, I'd already left."
トムはメアリーのところで長い時間すごした。,トム は メアリー の ところ で ながい じかん すごした。,Tom spends a lot of time at Mary's.
ここでしゃべらない方がいい。,ここ で しゃべらない ほう が いい。,You should not talk here.
胃がむかむかする。,い が むかむか する。,I'm afraid I have an upset stomach.
それは雲をつかむような話だ。,それ は くも を つかむ よう な はなし だ。,It's a vague story.
彼女は状況をつかむことができる。,かのじょ は じょうきょう を つかむ こと が できる。,She is able to grasp the situation.
彼女の前に出るときまっておどおどする。,かのじょ の まえ に でると きまって おどおど する。,I always get nervous in her presence.
両親が私ひとりでは行かせないにきまっています。,りょうしん が わたし ひとり では いかせない に きまっています。,I'm sure my parents won't let me go by myself.
私たちは毎週末にきまってスケートに行ったものです。,わたしたち は まいしゅうまつ に きまって スケート に いった もの です。,We used to go skating every weekend.
労なくして益なし。,ろう なく して えき なし。,"No pain, no gain."
鞄をなくしてしまった。,かばん を なくしてしまった。,I've lost my bag.
私はペンをなくしていた。,わたし は ペン を なくしていた。,I had lost my pen.
痛みなくして得るものなし。,いたみ なく してえる もの なし。,"No pain, no gain."
カメラをなくしてしまった。,カメラ を なくしてしまった。,I have lost my camera.
なくしていた財布を見つけた。,なくしていた さいふ を みつけた。,I found my lost wallet.
努力なくしては何も得られない。,どりょく なく しては なに も えられない。,Nothing is achieved without effort.
バスで帽子をなくしてしまった。,バス で ぼうし を なくしてしまった。,I lost my hat on the bus.
僕は自分の傘をなくしてしまった。,ぼく は じぶん の かさ を なくしてしまった。,I have lost my umbrella.
彼は映画の切符をなくしてしまった。,かれ は えいが の きっぷ を なくしてしまった。,He lost his cinema ticket.
彼女は携帯をなくしてしまいました。,かのじょ は けいたい を なくしてしまいました。,She lost her phone.
ケイトはなくしていた時計を見つけた。,ケイト は なくしていた とけい を みつけた。,Kate found the watch which she had lost.
こないだ、カメラをなくしてしまった。,こないだ、カメラ を なくしてしまった。,I lost my camera the other day.
私はペンを買ったが、なくしてしまった。,わたし は ペン を かった が、なくしてしまった。,"I bought a pen, but I lost it."
トムは連日の猛暑で食欲をなくしていた。,トム は れんじつ の もうしょ で しょくよく を なくしていた。,Tom lost his appetite due to the heat wave.
腕時計を買って、次の日になくしてしまった。,うでどけい を かって、つぎ の ひ に なくしてしまった。,I bought a watch and I lost it the next day.
管理区域 — 許可なくして立ち入りを禁ず。,かんり くいき — きょかなく して たちいり を きんず。,Controlled Access Zone: No entry without permission.
彼女は金も、家族も友人もなくしてしまった。,かのじょ は きん も、かぞく も ゆうじん も なくしてしまった。,"She lost her money, her family, her friends."
どこかこの辺で私は鍵をなくしてしまいました。,どこ か この あたり で わたし は かぎ を なくしてしまいました。,I've just gone and lost my key somewhere around here.
君がなくしていたお金が見つかって僕は嬉しい。,きみ が なくしていた おかね が みつかって ぼく は うれしい。,I'm glad you found the money you lost.
メッセージを残しておきました。,メッセージ を のこしておきました。,I left you a message.
それは引き出しに入れておきました。,それ は ひきだし に いれておきました。,I put it in the drawer.
電話には出なかったからメールしておきました。,でんわ には でなかった から メール しておきました。,"He didn't answer the phone, so I left him an email."
かのじょの声は十分に聞こえました。,かの じ ょのごえ は じゅうぶん に きこえました。,Her voice could be heard well.
幼い女の子が大声で助けを求めるのが聞こえました。,おさない おんなのこ が おおごえ で たすけ を もとめる の が きこえました。,I heard a young girl call for help.
トムが授業中にいびきを掻いているのが聞こえました。,トム が じゅぎょうちゅう に いびき を かいている の が きこえました。,I heard Tom snoring during the class.
彼女は私がトムの住所をしっているかどうか聞いた。,かのじょ は わたし が トム の じゅうしょ を しっている か どう か きいた。,She asked me if I knew Tom's address.
君にはあきれた。,きみ には あきれた。,I am disgusted with you.
彼女はたった今でかけました。,かのじょ は たったいま でかけました。,She just left.
それは文脈による。,それ は ぶんみゃく に よる。,It depends on the context.
春はあけぼの、夏はよる。,はる は あけぼの、なつ は よる。,"In springtime, the dawn. In summer, the night."
天気予報によると明日は晴れです。,てんき よほう に よると あした は はれ です。,The weather forecast says it will be fine tomorrow.
新聞によると今日は雨が降ります。,しんぶん に よると きょう は あめ が おります。,"According to the newspaper, it will rain today."
性別による差別は禁じられています。,せいべつ による さべつ は きんじられています。,Discrimination on the basis of gender is prohibited.
天気予報によると嵐が向ってきている。,てんき よほう に よると あらし が むかってきている。,The weatherman says there is a storm on the way.
新聞によると男はついに自白したそうだ。,しんぶん に よると おとこ は ついに じはく した そう だ。,"According to the papers, the man has finally confessed."
天気予報によると、明日は雪が降ります。,てんき よほう に よると、あした は ゆき が おります。,It will snow tomorrow according to the weather forecast.
この地震による津波の心配はありません。,この じしん による つなみ の しんぱい は ありません。,You need not worry about the tsunami due to this earthquake.
ことによると、きみにも一緒にきてもらう。,ことに よると、きみ にも いっしょ に きてもらう。,Maybe you'd better come with us.
天気予報によると、明日は雪が降るらしい。,てんき よほう に よると、あした は ゆき が ふるらしい。,According to the weather forecast it is going to snow tomorrow.
ラジオによると、明日は雨になるそうです。,ラジオ に よると、あした は あめ に なる そう です。,"According to the radio, it will rain tomorrow."
マイクによると、マックは新しい車を買った。,マイク に よると、マック は あたらしい くるま を かった。,"According to Mike, Mac bought a new car."
その事故は不注意な運転によるものであった。,その じこ は ふちゅうい な うんてん による もの であった。,The accident was due to careless driving.
フィリップ2世による統治は40年間続いた。,フィリップ 2せい による とうち は 40ねんかん つづいた。,The reign of Philip II lasted forty years.
ラジオによると、北海で嵐が起こるとのことだ。,ラジオ に よると、ほっかい で あらし が おこる との こと だ。,"According to the radio, a storm is imminent in the North."
バケツによる消火活動は、すぐに失敗と分かった。,バケツ による しょうか かつどう は、すぐ に しっぱい と わかった。,Attempts to fight the fire with buckets soon proved fruitless.
昔の物語によると猫が九性有りと言われています。,むかし の ものがたり に よると ねこ が きゅうせい あり と いわれています。,"According to folktales, cats have nine lives."
今日の新聞によると、また台風がやってくるそうだ。,きょう の しんぶん に よると、また たいふう が やってくる そう だ。,Today's paper says that another typhoon is on its way.
今日の新聞によると、首相は渡米を断念したそうだ。,きょう の しんぶん に よると、しゅしょう は とべい を だんねん した そう だ。,Today's paper reports that the premier has given up the idea of visiting America.
仕方がないと覚悟をきめてその仕事を引き受けた。,しかた が ない と かくご を きめて その しごと を ひきうけた。,I agreed to take on the job realizing that I had no choice.
彼は古びた靴をはいていた。,かれ は ふるびた くつ を はいていた。,He wore old shoes.
彼女はパンプスをはいていた。,かのじょ は パンプス を はいていた。,She was wearing pumps.
彼女は普段ジーンズをはいている。,かのじょ は ふだん ジーンズ を はいている。,She usually wears jeans.
トムは青色のジーンズをはいている。,トム は あおいろ の ジーンズ を はいている。,Tom was wearing blue jeans.
この靴はどんなに乱暴にはいても大丈夫です。,この くつ は どんなに らんぼう には いても だいじょうぶ です。,These shoes will stand up to hard use.
なんでここにトムはいてメアリーはいないの?,なんで ここ に トム は いて メアリー は いない の ?,Why is Tom here and not Mary?
メグだけがジーンズをはいていた女の子だった。,メグ だけが ジーンズ を はいていた おんなのこ だった。,Meg was the only girl that was wearing jeans.
彼がジーンズをはいているのを見たことがない。,かれ が ジーンズ を はいている の を みた こと が ない。,I never saw him in jeans.
メグはジーンズをはいていた唯一の女の子だった。,メグ は ジーンズ を はいていた ゆいいつ の おんなのこ だった。,Meg was the only girl that was wearing jeans.
メグはジーパンをはいていたただ一人の女の子だった。,メグ は ジーパン を はいていた ただ いちにん の おんなのこ だった。,Meg was the only girl that was wearing jeans.
すごく腹がへっている。,すごく はら が へっている。,I am terribly hungry.
どのくらいお腹へってる？,どの くらい おなか へってる？,How hungry are you?
来てくれてありがとう。,きてくれて ありがとう。,Thank you for coming.
説明してくれてありがとう。,せつめい してくれて ありがとう。,Thanks for your explanation.
招待してくれてありがとう。,しょうたい してくれて ありがとう。,Thank you for inviting me.
手伝ってくれてありがとう。,てつだってくれて ありがとう。,Thank you for your assistance.
気に入ってくれて嬉しいよ。,きにいってくれて うれしい よ。,I'm happy you liked it.
励ましてくれてありがとう。,はげましてくれて ありがとう。,I appreciate you trying to cheer me up.
そう言ってくれて嬉しいよ。,そう いってくれて うれしい よ。,I'm happy to hear you say that.
待っててくれてありがとう。,まっててくれて ありがとう。,Thanks for waiting for me.
心配してくれてありがとうね。,しんぱい してくれて ありがとう ね。,Thank you for your concern.
手伝ってくれてありがとうね。,てつだってくれて ありがとう ね。,Thank you for your assistance.
今夜は来てくれてありがとう。,こんや は きてくれて ありがとう。,Thanks for coming over tonight.
俺の幸せを祈ってくれてるの？,おれ の しあわせ を いのってくれてる の？,Will you pray for me to be happy?
１０分おくれて私は駅に着いた。,１０ふん おくれて わたし は えき に ついた。,I arrived at the station ten minutes late.
宿題手伝ってくれてありがとう。,しゅくだい てつだってくれて ありがとう。,Thank you for helping me with my homework.
正直に話してくれてありがとう。,しょうじき に はなしてくれて ありがとう。,I appreciate your candor.
君が喜んでくれて、僕も嬉しい。,きみ が よろこんでくれて、ぼく も うれしい。,I'm glad I make you happy.
はるばる来てくれてありがとう！,はるばる きてくれて ありがとう！,Thanks for coming from so far away!
あの建物、私の娘にくれてください。,あの たてもの、わたし の むすめ に くれてください。,Give the house to my daughter.
トムは私のこと覚えてくれてるかな？,トム は わたし の こと おぼえてくれてる かな？,I wonder if Tom still remembers me.
あなたが戻って来てくれて嬉しいです。,あなた が もどってきてくれて うれしい です。,I'm glad to see you back.
彼は絵をかいている。,かれ は え を かいている。,He is drawing a picture.
