Word,Reading,Meaning
日,ひ,"day, days; sun, sunshine, sunlight; case (esp. unfortunate), event"
同日,どうじつ,the same day
日米,にちべい,Japan-America
日本人,"にほんじん, にっぽんじん","Japanese person, Japanese people"
毎日,まいにち,every day
前日,"ぜんじつ, まえび","previous day, the day before"
全日,ぜんじつ,all days
日程,にってい,"schedule, program, programme, agenda"
日本語,"にほんご, にっぽんご",Japanese (language)
今日,"こんにち, きょう, こんち, こんじつ","today, this day"
一つ,ひとつ,"one; for one thing (often used in itemized lists); (after a noun) only; (with a verb in negative form) (not) even; just (i.e. ""just try it"")"
一月,いちがつ,January
一般,いっぱん,"general, liberal, universal, ordinary, average"
一番,いちばん,"best, first, number one; game, round, bout, fall, event (in a meet)"
一部,いちぶ,"one part, one portion, one section, some; one copy (e.g. of a document)"
一方,いっぽう,"one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand; whereas, although, but at the same time, meanwhile, in turn; (after noun, adjective-stem or plain verb) just keeps, being inclined to ..., tending to be ..., tending to do ..., ntinuously ..., just keeps on ...ing, only"
十一,"じゅういち, ジュウイチ","11, eleven; Hodgson's hawk-cuckoo (Cuculus fugax)"
十一月,じゅういちがつ,November
統一,とういつ,"unity, consolidation, uniformity, unification, compatible"
一時,"いちじ, いっとき","one hour, short time, once, a time, temporarily, at one time, twelfth part of a day"
外国人,がいこくじん,foreigner
個人,こじん,"individual, private person, personal, private"
三人,"さんにん, みたり",three people
人間,にんげん,"human being, man, person; character (of a person)"
人気,にんき,"popular, popular feeling, business conditions"
人口,じんこう,population; common talk
日本人,"にほんじん, にっぽんじん","Japanese person, Japanese people"
人々,"ひとびと, にんにん","each person, people, men, human, everybody"
二人,"ふたり, ににん","two persons, two people, pair, couple"
証人,しょうにん,witness
年,とし,year; age
昨年,さくねん,last year
前年,ぜんねん,"the preceding year, the previous year, last year"
年間,ねんかん,year (period of)
来年,らいねん,next year
今年,"ことし, こんねん",this year
周年,しゅうねん,"whole year, anniversary"
少年,しょうねん,"boys, juveniles"
年金,ねんきん,"annuity, pension"
年生,ねんせい,"pupil in ... year, student in ... year"
大きな,おおきな,"big, large, great"
拡大,かくだい,"magnification, enlargement, expansion"
最大,さいだい,"greatest, largest, maximum"
大いに,おおいに,"very, much, greatly, a lot of"
大会,たいかい,"convention, tournament, mass meeting, rally"
大学,だいがく,"post-secondary education institution, incl. university, college, etc.; the Great Learning - one of the Four Books"
