Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
する,する,しない,した,しなかった,します,しません,しました,しません でした,できる,,して,しないで,しろ,する な,しよう,,すれば,しなければ,させる,させない,しちゃう,,しちまう,,し,,しなさい,,される,,したら,しなかったら,10.0,為る,する
いる,いる,いらない,いった,いらなかった,いります,いりません,いりました,いりません でした,いれる,いれない,いって,いらないで,いれ,いる な,いろう,,いれば,いらなければ,いらせる,いらせない,いっちゃう,,いっちまう,,いり,,いりなさい,,いられる,いられない,いったら,いらなかったら,13.0,居る,いる
ある,ある,ない,あった,なかった,あります,ありません,ありました,ありません でした,あれる,あれない,あって,ないで,あれ,ある な,あろう,,あれば,なければ,あらせる,あらせない,あっちゃう,,あっちまう,,あり,,ありなさい,,あられる,あられない,あったら,なかったら,14.0,有る,ある
いう,いう,いわない,いった,いわなかった,いいます,いいません,いいました,いいません でした,いえる,いえない,いって,いわないで,いえ,いう な,いおう,,いえば,いわなければ,いわせる,いわせない,いっちゃう,,いっちまう,,いい,,いいなさい,,いわれる,いわれない,いったら,いわなかったら,17.0,言う,いう
なる,なる,ならない,なった,ならなかった,なります,なりません,なりました,なりません でした,なれる,なれない,なって,ならないで,なれ,なる な,なろう,,なれば,ならなければ,ならせる,ならせない,なっちゃう,,なっちまう,,なり,,なりなさい,,なられる,なられない,なったら,ならなかったら,23.0,成る,なる
来る,きたる,きたらない,きたった,きたらなかった,きたります,きたりません,きたりました,きたりません でした,きたれる,きたれない,きたって,きたらないで,きたれ,きたる な,きたろう,,きたれば,きたらなければ,きたらせる,きたらせない,きたっちゃう,,きたっちまう,,きたり,,きたりなさい,,きたられる,きたられない,きたったら,きたらなかったら,38.0,来る,くる
思う,おもう,おもわない,おもった,おもわなかった,おもいます,おもいません,おもいました,おもいません でした,おもえる,おもえない,おもって,おもわないで,おもえ,おもう な,おもおう,,おもえば,おもわなければ,おもわせる,おもわせない,おもっちゃう,,おもっちまう,,おもい,,おもいなさい,,おもわれる,おもわれない,おもったら,おもわなかったら,39.0,思う,おもう
いく,いく,いかない,いった,いかなかった,いきます,いきません,いきました,いきません でした,いける,いけない,いって,いかないで,いけ,いく な,いこう,,いけば,いかなければ,いかせる,いかせない,いっちゃう,,いっちまう,,いき,,いきなさい,,いかれる,いかれない,いったら,いかなかったら,41.0,行く,いく
見る,みる,みない,みた,みなかった,みます,みません,みました,みません でした,みられる,みられない,みて,みないで,みよ,みる な,みよう,,みれば,みなければ,みさせる,みさせない,みちゃう,,みちまう,,み,,みなさい,,みられる,みられない,みたら,みなかったら,44.0,見る,みる
できる,できる,できない,できた,できなかった,できます,できません,できました,できません でした,できられる,できられない,できて,できないで,できよ,できる な,できよう,,できれば,できなければ,できさせる,できさせない,できちゃう,,できちまう,,でき,,できなさい,,できられる,できられない,できたら,できなかったら,46.0,出来る,できる
